eV	CPS	eV	CPS
23.2	115662	-0.4	2313.24
23.21	100810	-0.41	2016.2
23.22	90145	-0.42	1802.9
23.23	81167	-0.43	1623.34
23.24	72095	-0.44	1441.9
23.25	64219	-0.45	1284.38
23.26	57821	-0.46	1156.42
23.27	52599	-0.47	1051.98
23.28	46673	-0.48	933.46
23.29	42006	-0.49	840.12
23.3	35844	-0.5	716.88
23.31	36223	-0.51	724.46
23.32	31770	-0.52	635.4
23.33	28540	-0.53	570.8
23.34	24871	-0.54	497.42
23.35	21241	-0.55	424.82
23.36	19605	-0.56	392.1
23.37	17022	-0.57	340.44
23.38	15735	-0.58	314.7
23.39	14627	-0.59	292.54
23.4	13508	-0.6	270.16
23.41	12038	-0.61	240.76
23.42	10594	-0.62	211.88
23.43	9837	-0.63	196.74
23.44	9212	-0.64	184.24
23.45	8110	-0.65	162.2
23.46	7742	-0.66	154.84
23.47	7152	-0.67	143.04
23.48	7111	-0.68	142.22
23.49	5908	-0.69	118.16
23.5	6055	-0.7	121.1
23.51	5724	-0.71	114.48
23.52	5496	-0.72	109.92
23.53	4907	-0.73	98.14
23.54	4518	-0.74	90.36
23.55	4524	-0.75	90.48
23.56	3929	-0.76	78.58
23.57	3939	-0.77	78.78
23.58	4094	-0.78	81.88
23.59	3985	-0.79	79.7
23.6	3392	-0.8	67.84
23.61	3136	-0.81	62.72
23.62	3526	-0.82	70.52
23.63	3352	-0.83	67.04
23.64	3425	-0.84	68.5
23.65	3232	-0.85	64.64
23.66	3072	-0.86	61.44
23.67	3206	-0.87	64.12
23.68	3135	-0.88	62.7
23.69	2954	-0.89	59.08
23.7	2735	-0.9	54.7
23.71	2707	-0.91	54.14
23.72	2984	-0.92	59.68
23.73	2802	-0.93	56.04
23.74	2612	-0.94	52.24
23.75	2867	-0.95	57.34
23.76	2656	-0.96	53.12
23.77	2814	-0.97	56.28
23.78	2763	-0.98	55.26
23.79	2753	-0.99	55.06
23.8	2744	-1	54.88
23.81	2701	-1.01	54.02
23.82	2539	-1.02	50.78
23.83	2726	-1.03	54.52
23.84	2758	-1.04	55.16
23.85	2529	-1.05	50.58
23.86	2722	-1.06	54.44
23.87	2694	-1.07	53.88
23.88	3014	-1.08	60.28
23.89	2747	-1.09	54.94
23.9	2824	-1.1	56.48
23.91	2612	-1.11	52.24
23.92	2679	-1.12	53.58
23.93	2567	-1.13	51.34
23.94	2637	-1.14	52.74
23.95	2928	-1.15	58.56
23.96	2670	-1.16	53.4
23.97	2680	-1.17	53.6
23.98	2518	-1.18	50.36
23.99	2893	-1.19	57.86
24	2684	-1.2	53.68
